freq MHz,x_c,x_c_err,y_c,y_c_err,x_r,x_r_err,y_r,y_r_err,angle,angle_err,A_I,A_Q,alpha_1,alpha_2,gamma
3100,0.012330967113413138,3.1781955605611546e-06,0.003467712708273174,3.2189761187417302e-06,0.042341442593898222,3.8821119387612018e-06,0.042848124691179976,3.9329838848748079e-06,0.00053067385744709483,0.0063345151649032722,0.042341442737441108,0.042848124549334496,0.00053702420536159816,1.5713207253976991,-1.5707837011923376
3110,0.012238483324413629,2.8778150837145964e-06,0.0038001876990020611,2.9316507748333502e-06,0.041930096849343831,3.5306998682017246e-06,0.043213726427657716,3.5815429019554117e-06,0.29876464462524499,0.0022632569673251579,0.042042855903427843,0.043104030450102915,0.30735327282651709,1.8611837909521494,-1.5538305181256322
3120,0.012326976900080389,3.202406265273212e-06,0.0037239099197373393,3.2070495682351315e-06,0.042631516317595576,3.9086024574176195e-06,0.043445560639036186,3.9428352505576869e-06,0.51747735050363142,0.003933636276742254,0.042832157065112134,0.043247765768038848,0.52564825617918909,2.0801812953094441,-1.554533039130255
3130,0.012153600207874954,2.6703920961443802e-06,0.0039693742468016047,2.6901419605269198e-06,0.041682393200933747,3.2661769188512868e-06,0.043883513670081156,3.2887406271850048e-06,0.51253473004018479,0.0012198591126695209,0.042222199855414956,0.043364392240164563,0.53481642014594299,2.0616363465763063,-1.5268199264303632
3140,0.012344764807024455,2.9488360547330454e-06,0.0040659596404682696,2.9667457970751881e-06,0.04210371996787915,3.5908246074088272e-06,0.043624646139435702,3.6526007379673176e-06,0.52265605316740826,0.0019442508247423634,0.042487803799273728,0.043250659119127746,0.53814022757022018,2.0782413367519688,-1.5401011091817485
3150,0.012329665758604447,2.5524852737745849e-06,0.0044029343136407495,2.5989176977946096e-06,0.041384986562093627,3.1140353949448225e-06,0.043690421706279292,3.1875647779452301e-06,0.50663018639357826,0.0011182372290019242,0.04193921313285031,0.043158689315299495,0.52995538186645097,2.0547605004610761,-1.524805118594625
3160,0.012107993248868215,2.7173062026540438e-06,0.0043885586967386536,2.7515332436133626e-06,0.041032780435220684,3.3244401469394748e-06,0.043688144667415545,3.3773406918264417e-06,0.60525910197051003,0.0010279191982739131,0.041910828899174253,0.042846533998798536,0.6349083700129875,2.1470538406262563,-1.5121454706132686
3170,0.011942079244976173,2.4981399210163619e-06,0.0047796384662262548,2.5296264517938217e-06,0.040600864488064603,3.0478767355226143e-06,0.043472000978035892,3.1160557431306326e-06,0.53466747899538758,0.00087310807568706115,0.04136550280457045,0.042745061047302448,0.56510387699617481,2.0760100039492073,-1.5109061269530324
3180,0.012037549838713024,2.869809288343343e-06,0.0048590290280487447,2.9147334897315384e-06,0.041188274709405406,3.5100248332764009e-06,0.043423450732711387,3.5790492516339042e-06,0.54463890535069148,0.0012916980402867151,0.041800016560119113,0.042834900054131396,0.56833752747651622,2.0923092678308115,-1.5239717403542952
3190,0.011887964250225508,2.6357589660051866e-06,0.0050679488143917373,2.6827548513180988e-06,0.040624169826635838,3.2239895121205163e-06,0.043661366177458368,3.2880809522122697e-06,0.54078625712786721,0.00087487823765416972,0.041450796690419012,0.042877377768643955,0.57313056067826018,2.080314770496436,-1.5071842098181758
